0	                                            Toy Story (1995)
1	                                              Jumanji (1995)
2	                                     Grumpier Old Men (1995)
3	                          Father of the Bride Part II (1995)
4	                                                 Heat (1995)
5	                                              Sabrina (1995)
6	                                            GoldenEye (1995)
7	                              American President, The (1995)
8	                                               Casino (1995)
9	                                Sense and Sensibility (1995)
10	                       Ace Ventura: When Nature Calls (1995)
11	                                           Get Shorty (1995)
12	                                              Copycat (1995)
13	                                    Leaving Las Vegas (1995)
14	                                      Dangerous Minds (1995)
15	                          12 Monkeys (Twelve Monkeys) (1995)
16	                                                 Babe (1995)
17	                                     Dead Man Walking (1995)
18	                                             Clueless (1995)
19	                                        Mortal Kombat (1995)
20	                                           To Die For (1995)
21	                                 Seven (a.k.a. Se7en) (1995)
22	                                           Pocahontas (1995)
23	                                  Usual Suspects, The (1995)
24	                                     Mighty Aphrodite (1995)
25	                           Postman, The (Postino, Il) (1994)
26	                                   Mr. Holland's Opus (1995)
27	                                  From Dusk Till Dawn (1996)
28	                                         Broken Arrow (1996)
29	                                        Happy Gilmore (1996)
30	                       Bridges of Madison County, The (1995)
31	                                           Braveheart (1995)
32	                                          Taxi Driver (1976)
33	                  Rumble in the Bronx (Hont faan kui) (1995)
34	                                        Birdcage, The (1996)
35	                                             Bad Boys (1995)
36	                                            Apollo 13 (1995)
37	                                              Rob Roy (1995)
38	                                       Batman Forever (1995)
39	                                               Casper (1995)
40	                                                Congo (1995)
41	                                         Crimson Tide (1995)
42	                                            Desperado (1995)
43	                           Die Hard: With a Vengeance (1995)
44	                                         First Knight (1995)
45	                                      Johnny Mnemonic (1995)
46	                                          Judge Dredd (1995)
47	                                             Net, The (1995)
48	                                          Nine Months (1995)
49	                                              Species (1995)
50	                                         Strange Days (1995)
51	                        Under Siege 2: Dark Territory (1995)
52	                                           Waterworld (1995)
53	                                               Clerks (1994)
54	                                     Don Juan DeMarco (1995)
55	                                           Disclosure (1994)
56	                                        Dumb & Dumber (1994)
57	                                              Ed Wood (1994)
58	                                          French Kiss (1995)
59	                                          Hoop Dreams (1994)
60	                                                 I.Q. (1994)
61	   Interview with the Vampire: The Vampire Chronicles (1994)
62	                                               Junior (1994)
63	Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977)
64	                                         Little Women (1994)
65	  Like Water for Chocolate (Como agua para chocolate) (1992)
66	                                  Legends of the Fall (1994)
67	                                                 Nell (1994)
68	                                 Natural Born Killers (1994)
69	                                             Outbreak (1995)
70	  Léon: The Professional (Léon) (Professional, The) (1994)
71	                                         Pulp Fiction (1994)
72	                                            Quiz Show (1994)
73	                                      Specialist, The (1994)
74	                                             Stargate (1994)
75	                                    Santa Clause, The (1994)
76	                            Shawshank Redemption, The (1994)
77	                               Star Trek: Generations (1994)
78	                                            Tommy Boy (1995)
79	                          What's Eating Gilbert Grape (1993)
80	                              While You Were Sleeping (1995)
81	                                     Muriel's Wedding (1994)
82	                           Ace Ventura: Pet Detective (1994)
83	    Adventures of Priscilla, Queen of the Desert, The (1994)
84	                                Bullets Over Broadway (1994)
85	                             Clear and Present Danger (1994)
86	                                          Client, The (1994)
87	                                            Crow, The (1994)
88	                                     Flintstones, The (1994)
89	                                         Forrest Gump (1994)
90	                          Four Weddings and a Funeral (1994)
91	                                       Lion King, The (1994)
92	                                            Mask, The (1994)
93	                                             Maverick (1994)
94	                   Naked Gun 33 1/3: The Final Insult (1994)
95	                                      River Wild, The (1994)
